Date,DayOfWeek,Time,BadgeCode,ReaderCode,ResourceId,UserId,UserName,Result
2025-12-30,星期二,15:42:14,bdg_bat,rdr_coke_machine,res_vending_01,usr_001,Bruce:Wayne,GRANTED
2025-12-30,星期二,15:42:15,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,GRANTED
2025-12-30,星期二,15:47:23,bdg_sup,rdr_lab_entry,res_lab_door,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:24,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:25,bdg_bat,rdr_front_door,res_main_gate,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:26,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:27,bdg_sup,rdr_front_door,res_main_gate,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:28,bdg_ww,rdr_lab_entry,res_lab_door,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:29,bdg_sup,rdr_front_door,res_main_gate,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:30,bdg_sup,rdr_front_door,res_main_gate,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:31,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:32,bdg_sup,rdr_lab_entry,res_lab_door,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:33,bdg_bat,rdr_coke_machine,res_vending_01,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:34,bdg_bat,rdr_front_door,res_main_gate,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:35,bdg_ww,rdr_lab_entry,res_lab_door,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:36,bdg_sup,rdr_coke_machine,res_vending_01,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:37,bdg_bat,rdr_front_door,res_main_gate,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:38,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:39,bdg_bat,rdr_front_door,res_main_gate,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:40,bdg_sup,rdr_lab_entry,res_lab_door,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:41,bdg_sup,rdr_front_door,res_main_gate,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:42,bdg_bat,rdr_front_door,res_main_gate,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:43,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:44,bdg_bat,rdr_front_door,res_main_gate,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:45,bdg_ww,rdr_lab_entry,res_lab_door,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:46,bdg_ww,rdr_lab_entry,res_lab_door,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:47,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:48,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:49,bdg_sup,rdr_front_door,res_main_gate,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:50,bdg_bat,rdr_front_door,res_main_gate,usr_001,Bruce:Wayne,DENIED
2025-12-30,星期二,15:47:51,bdg_ww,rdr_lab_entry,res_lab_door,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:52,bdg_sup,rdr_coke_machine,res_vending_01,usr_003,Clark:Kent,DENIED
2025-12-30,星期二,15:47:53,bdg_ww,rdr_coke_machine,res_vending_01,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:54,bdg_ww,rdr_front_door,res_main_gate,usr_002,Diana:Prince,DENIED
2025-12-30,星期二,15:47:55,bdg_bat,rdr_lab_entry,res_lab_door,usr_001,Bruce:Wayne,DENIED
